Grocery store brand,Area,Apple 1 brand,Apple 1 price,Apple 2 brand,Apple 2 price,Apple 3 brand,Apple 3 price,Banana 1 brand,Banana 1 price ,Banana 2 brand,Banana 2 price ,Banana 3 brand,Banana 3 price ,Tomatoes 1 brand,Tomatoes 1 price ,Tomatoes 2 brand,Tomatoes 2 price,Tomatoes 3 brand,Tomatoes 3 price ,Potatos 1 brand,Potatos 1 price,Potatos 2 brand,Potatos 2 price ,Potatos 3 brand,Potatos 3 price ,Flour 1 brand,Flour 1 price ,Flour 2 brand,Flour 2 price ,Flour 3 brand,Flour 3 price ,Rice 1 brand,Rice 1 price ,Rice 2 brand,Rice 2 price ,Rice 3 brand,Rice 3 price ,Milk 1 brand,Milk 1 price ,Milk 2 brand,Milk 2 price ,Milk 3 brand,Milk 3 price ,Butter 1 brand,Butter  1 price ,Butter 2 brand,Butter  2 price ,Butter  3 brand,Butter 3 price ,Eggs 1 brand,Eggs 1 price ,Eggs  2 brand,Eggs  2 price ,Eggs 3 brand,Eggs  3 price ,Chicken 1 brand,Chicken  1 price ,Chicken  2 brand,Chicken  2 price ,Chicken  3 brand,Chicken  3 price 
1,1,Royal Gala,2.49,Ambriosa,2.49,Normal red apples,1.4,Normal banana,1.09,Bio banana,1.69,NA,0.1,Strauchtomaten,2.19,Bio Strauchtomaten,4.58,Cherry Strauchtomaten,5.58,Normal potato,0.68,Bio potato,1.19,Premium potato,1.49,Belbake White flour,0.35,Belbake Bio white flour,0.95,Belbake bio spelt flour,1.59,Golden Sun Basmati,1.99,Golden Zaun Thai Jasmin,1.89,Golden Sun Milk Rice,0.98,Milbona,0.89,Milbona Bio,1.05,B_ren Marke,1.25,Milbona,3.98,Kerrygold,4.78,Beste Butter,4.38,Bodenhaltung (normal),1.55,Bodenhaltung (Free Land),2.02,Bio eggs no brand,3.3,Land Junker,6.48,NA,0.1,NA,0.1
1,1,Royal Gala,2.49,Ambriosa,2.49,Normal red apples,1.4,Normal banana,1.09,Bio banana,1.69,NA,0.1,Strauchtomaten,2.19,Bio Strauchtomaten,4.58,Cherry Strauchtomaten,5.58,Normal potato,0.68,Bio potato,1.19,Premium potato,1.49,Belbake White flour,0.35,Belbake Bio white flour,0.95,Belbake bio spelt flour,1.59,Golden Sun Basmati,1.99,Golden Zaun Thai Jasmin,1.89,Golden Sun Milk Rice,0.98,Milbona,0.89,Milbona Bio,1.05,B_ren Marke,1.25,Milbona,3.98,Kerrygold,4.78,Beste Butter,4.38,Bodenhaltung (normal),1.55,Bodenhaltung (Free Land),2.02,Bio eggs no brand,3.3,Land Junker,6.48,NA,0.1,NA,0.1
3,2,Honeycrunch,2.72,Braeburn,1.39,South African,2.99,No brand,1.09,No Brand,1.89,NA,NA,No brand,3.52,No brand,2.19,NA,NA,No Brand,0.95,No Brand,0.62,NA,NA,No Brand,0.35,NA,NA,NA,NA,Parboiled Reis,0.89,Milchreis,0.98,Jasmine,1.89,Milsani Vollmilch,0.69,Milsani Fettarme Milch,0.61,Gutbio Frisch Fettarme Land Milch,0.95,O'Grady Irische Butter,3.98,Deutsche Markenbutter,3.58,Kerrygold extra,3.365,6-er Bodenhaltung,1.9,Bio Eier,3.3,Eier aus Bodenhaltung,1.29,Friches,6.98,Frisches,7.48,NA,NA
4,7,Royal Gala,1.99,Pink Lady,2.99,Braeburn,1.99,Normal banana,1.09,Bio Banana,1.69,NA,NA,Fleischtomaten,2.49,Cherry Rispen tomato,4.98,Cherry tomato,3.23,Normal potato,0.6,Bio potato,0.92,NA,NA,Gut and gÙnstig,0.35,Diamant,0.99,Edeka Bio,0.99,Gut und gÙnstig milk rice,0.98,Gut und gÙnstig jasmine rice,1.89,Edeka Basmati,4.78,Edeka Bio,1.09,Minus L,1.39,B_ren Marke,1.19,Gut and gÙnstig,3.58,SÙssrahmbutter,4.7,Streichzart butter,3.38,Normal eggs,1.29,Big eggs,2.38,Bio eggs,4.98,No brand,6.98,NA,NA,NA,NA
4,4,Kissed By Nature,1.99,Pink Lady,2.93,Edeka,1.99,Edeka,0.88,Edeka Bio,1.99,Mini,4,Bauers Beste,5.98,Gut & Gunstig,5.58,Saveol,5.98,Bauers Beste,0.92,Gut & Gunstig,0.56,Edeka Bio,1.19,Gut & Gunstig,0.35,Edeka Bio,0.99,Diamant,0.69,Oryza,2.89,Gut & Gunstig,1.89,Alnatura,4.39,MinusL,1.49,Glasernie,1.39,Gut & Gunstig,0.69,Gut & Gunstig,3.58,Edeka,3.98,Landliebe,5.98,Demeter,6.98,Luisenhof,3.38,Gut & Gunstig,1.55,Stolle,9.99,Biofino,25.99,Meine Fleischerei,9.99
3,6,Apfel Evelina,1.79,Apfel Tenroy/Royal Gala,1.39,Apfel rot Honeycrunch,2.74,Gut Bio Fairtrade Bio Bananen,1.65,NA,NA,NA,NA,Gut Bio Bio Rispentomaten,4.38,Mini-Roma Rispentomaten,6.3,Rispentomaten,3.83,Gut Bio Bio Kartoffeln s. Etikett,1.2,Speisekartoffeln Agata/Gala,0.72,Speisekartoffeln Melodie/Karlena,0.72,NA,NA,NA,NA,NA,NA,Bon-Ri Jasmin Reis,1.89,Bon-Ri Basmati Reis,1.99,Bon-Ri Milchreis,0.98,Milsani Frische fettarme Milch,0.61,Meierkamp Frische Weidemilch,0.99,Meierkamp Frische Alpenmilch,0.95,O'Grady Irische Butter,3.98,Milsani Deutsche Markenbutter,3.58,Kerrygold Original Irische Butter,4.78,Gut Bio Bio Eier,3.3,Eier aus Freilandhaltung,2.03,Eier aus Bodenhaltung,1.55,Gut Bio Hahn-Brustfilet,19.99,meine MetzGerei Hahnchen Brustfilet Teilstuck,6.48,NA,NA
1,1,Bio Organic,3.13,no brand,1,no brand,1.4,Fairglobe,1.69,no brand,0.99,NA,NA,no brand,2.19,no brand,2.19,Bio Organic,4.58,no brand,0.68,no brand,0.73,Bio Organic,1.19,Belbake,1.48,Belbake,0.45,NA,NA,Golden Sun,0.89,Golden Sun,1.99,Golden Sun,1.89,Milbona,0.69,Barenmarke,1.25,NA,NA,Mark Brandenburg,4.38,Milbona,3.98,Kerrygold,4.78,Regionale Eier Bodenhaltung,1.98,Eier Aus Bodenhaltung,1.55,Eier Aus Freidlandhaltung,2.03,Landjunker,6.98,NA,NA,NA,NA
4,1,Granny Smith,1.99,Golden Deli,1.99,Braeburn,1.99,Bio Bananen,1.99,no brand,0.88,NA,NA,Bio Pflaumentomaten,4.48,Rispentomaten,2.99,Fleischtomaten,2.49,Speisekartoffeln,0.44,no brand,1.99,Bio Speisekartoffeln,3.06,Gut & Gunstig,0.35,Alnatura,1.49,NA,NA,Alnatura,4.39,NA,NA,NA,NA,Minus L,1.49,Arla,1.39,Edeka,1.05,Edeka,3.98,Kerrygold,4.78,Meggle,4.78,Luisenhof,2.99,Gut & Gunstig,2.03,Edeka,4.19,Le Gaulois,13.9,Friki,12.99,NA,NA
3,3,Gutbio elstar,4.38,Kissedbynature evelina,1.99,Apfel pink lady,2.79,Bio fairtrade bananen,1.69,No brand,1.09,"Only two brands of bananas , there is no 3rd brand",1,Gutbio rispentomaten,3.98,Rispentomaten aid brandenburg,3.52,No brand,2.19,Schmackhaft kartoffeln,1.39,Kartoffeln aus Brandenburg,0.64,There are only 2 brands of potatoes,1,Gold_hren,0.35,Gutbio dinkelmehl,1.75,Gutbio weizenmehl,0.89,Bonri parboiled,0.89,Bonri milchreis,0.49,Bonri basmati,1.99,Alpenmilch,0.95,Meierkamp,0.99,Milsani,0.61,Kerrygold,4.38,Maelkebotte,3.4,Kerrygold extra,3.8,Hofland,1.29,Gutbio,2.8,Gutbio A,3.3,Gutbio,7,Maine metzgerei,6.99,Fair&gut,8
2,4,Rewe beste wahl,1.52,Pink lady,3.98,Regional,1.99,Chicquita,1.99,Rewe beste wahl,1.49,Only 2 brands offered,1,Regional,2.49,Rewe bio,2.49,No brand,2.39,Rewe beste wahl,1.69,Rewe bio,1.53,No brand,0.72,Ja,0.99,Hansano,1.15,Baerenmarke,1.25,Uncle bens,1.99,Ja,1.99,Wurzener,1.19,Ja,0.61,Hansano,1.15,Baerenmarke,1.25,Ja,0.75,Rama,1.59,Sanella,1.69,Rewe beste wahl,2.34,Ja,1.29,Rewe bio,3.2,No brand,6.59,No brand,6.99,Ja,4.88
4,3,Elstar,1.99,Holsteiner cox,1.99,Tafelaepfel,1.99,bio bananen,1.79,NA,NA,NA,NA,Rispentomaten,1.99,Mini Roma tomaten,2.49,Mini pflaumentomaten,0.89,festkochend,2.29,mehligkochend,2.29,Bio festkochend,1.79,Diamant,0.69,Dinkel vollkorn mehl,1.59,Aurora pizzamehl,1.69,uncle ben kochbeutel,3.29,oryza ideal reis,2.89,oryza risotto parlla reis,2.99,EDEKA,1.05,Weihenstephan,1.39,Barenmrke,1.25,EDEKA,3.98,Arla,4.38,Kerrygold,4.38,Luisenhof,2.49,Gut&Gunstig,1.29,EDEKA,3.49,Gut&Gunstig,7.4,NA,NA,NA,NA
2,8,Snack Apfel,1.49,Rote Tafeapfel,1.39,Regional Rote Tafeapfel shampion,1.99,Chiquita,1.99,Bio bananen,1.79,Bananen,1.09,Bio,2.49,Tomete cherry,1.29,Cherry rispentomaten,2.29,Annabelle,2.49,Lilly,1.99,Beste Wahl,1.69,Kathi,1.59,Aurora roggenmehl,1.59,aurora dinkelmehl vollkorn,1.99,Jasmine reis,1.98,Risotto steinpilz,1.9,ideal reis langk.parb,3.18,Rewe,0.75,Baren marke,1.15,Mark Brandenberg,1.05,Laetta,2.98,Beotaufstr,2.78,Kerrygold,4.38,Rewe,2.35,Bio furstrenhof,4.9,ja!,1.29,Wilhelm Brandenberg,6.88,Schweine,4.44,NA,NA
4,5,Pink Lady,2.93,Edeka,1.99,Kissed By Nature,1.99,Bio,1.99,Gut & Gunstig,0.88,NA,NA,Gut & Gunstig,5.58,Edeka,7.69,Bauers Beste,5.98,Edeka,1.99,Gut & Gunstig,0.44,Edeka Bio,1.19,Gut & Gunstig,0.35,Kathi,1.59,Diamante,0.69,Gut & Gunstig,1.89,Oryza,2.89,Edeka,1.78,Baren Marke,0.88,Gut & Gunstig,0.69,Weihenstephan,1.39,Du Darfst,2.58,Meggle,4.78,Edeka,3.98,Edeka Bio,5.98,Luisenhof,2.99,Gut & Gunstig,1.55,Friki,12.99,Gut & Gunstig,6.48,FairMast,15.99
4,1,Edeka Granny Smith,1.99,Edeka Royal Gala/Tenroy,1.99,Naturlich BIO Royal Gala,2.99,Edeka Bananen,1.99,Bio Bananen,1.99,Bananen,1.09,BIO Rispentomaten,4.98,Tomaten,3.58,Rispentomaten,1.99,Mehligkochend Speisekartoffeln,0.92,Vorw Festkochend Speisekartoffeln,0.92,Festkochend Speisekartoffeln,0.92,Kathi,1.59,Diamant,0.99,Aurora,1.69,Edeka Basmati Reis,4.58,Gut & Gunstig,1.99,Reis-fit Basmati Reis,5.98,Gut & Gunstig,0.78,Weihenstephan,0.88,Barenmarke,1.19,Kerrygold Irische Markenbutter,4.78,Edeka Irische Butter,3.98,Gut & Gunstig,3.58,Luisenhof Bodenhaltung,2.75,Gut & Gunstig Eier Bodenhaltung,1.55,Edeka Eier A,4.79,Biofino Bio-Hahnchenbrustfilet,25.99,Fairmast Hahnchen Brustfilet,15.99,Gut & Gunstig Hahnchen Innenbrustfilet,6.98
3,10,FRUVEG,0.79,GutBio,3.65,FRUVEG,1.99,Fyffes,1.09,GutBio,1.69,NA,NA,GutBio,3.98,no brand,2.39,no brand,1.59,GutBio,0.95,FRUVEG,0.62,Agricola,1.45,Gold_hren,0.35,GutBio,1.75,NA,NA,Bon-Ri,1.89,Bon-Ri,1.99,Bon-Ri,0.89,Meierkamp,0.95,Milsani,0.69,GutBio,1.05,GutBio,4.78,Kerrygold,4.78,Milsani,3.58,GutBio,3.3,Hofland,1.9,NA,NA,Meine Metzgerei,6.48,NA,NA,NA,NA
4,4,Royal Gala,1.99,Braeburn,1,Bauersbeste,1.99,Edeka Bananen,1.99,Edeka Bio Bananen,1.99,No brand (Sales),0.88,Edeka,2.29,Bauersbeste,2.99,NA,NA,Edeka,1.99,Bauersbeste (mehligkochend),0.92,Bauersbeste (festkochend),0.92,Aurora,1.69,Wurzener,0.99,Kathi,1.59,Uncle Ben's,3.98,Gut and GÙnstig,0.98,Oryza,3.18,Gut and GÙnstig,0.69,Mark Brandenburg,1.29,Weihenstephan,1.39,Butaris,6.58,Kerrygold,4.78,Gut and GÙnstig,3.98,Gut and GÙnstig,2.03,Luisenhof,2.99,Bruderk Bio,6.58,Gut and GÙnstig,6.48,Edeka spiced,9.9,Edeka Natur,11.9
2,3,Royal Gala,1.52,Kanzi,2.39,Pink Lady,3.98,Rewe Beste Wahl,1.49,Bananen,1.09,Chiquita,1.99,Rewe Bio,4.98,Rewe Regional,2.99,Rewe Normal,2.39,Rewe Beste Wahl,1.69,Rewe Bio,3.06,Rewe vorw. festk,0.72,Wurzener,0.89,Rewe Bio,0.99,Diamant,1.38,Ja!,0.89,Wurzener,1.98,Uncle Ben's,3.98,Ja!,0.69,Baerenmarke,1.25,Mark Brandenburg,1.15,Ja!,3.6,Kerry Gold,4.8,Arla Kaergarden,4.4,Rewe,2.82,Bio Spitz and Bube,4.9,Ja!,1.55,Wilhelm Brandenburg,9.98,NA,NA,NA,NA
1,4,Gala,1.49,Ambriosa,1.89,no brand,1.89,Lidl,1.09,Lidl,1.69,Lidl,1.79,no brand,1.49,no brand,1.99,no brand,2.19,no brand,0.73,no brand,0.68,no brand,1.19,no brand,1.75,no brand,1.39,no brand,0.95,no brand,0.89,no brand,0.98,no brand,0.98,no brand,0.69,no brand,1.25,no brand,0.89,no brand,4.45,no brand,3.68,no brand,3.78,no brand,1.548,no brand,2.028,no brand,2.75,no brand,6.48,no brand,7.23,no brand,6.98
1,8,Ambrosia,2.49,Sanifrutta,2.49,No Brand,1.89,Tuccan,1.09,Fairglobe,1.69,NA,NA,Bio Organic,3.98,Barther GemÙsegarten,7.11,No brand,1.49,No brand,1.45,Parmentine,1.49,NA,NA,Belbake,0.35,Belbake Bio,0.95,,,Golden Sun,1.99,NA,NA,NA,NA,Milbona,0.78,Hemme Milch,1.15,B_renmarke,1.25,Ketty Gold,4.8,Milbona,2.58,Mark Brandenburg,4.8,no brand,3.3,no brand,2,no brand,1.6,Landjunker,6.48,NA,NA,NA,NA
1,9,Ambrosia,2.49,Sanifrutta,2.49,No brand,1.89,Tuccan,1.09,Fairglobe,1.69,NA,NA,No brand,1.49,Bio Organic,3.98,Barther GemÙsegarten,7.11,No brand,1.45,Bio Organic,3.98,Barther GemÙsegarten,7.11,No brand,1.45,Bio Organic,1.89,Parmentine,1.49,Golden Sun,1.99,NA,NA,NA,NA,Milbona,0.69,B_renmarke,1.25,Hemme Milch,1.15,Milbona,2.58,Sachsen Milch,3.98,Landliebe,3.78,no brand,3.3,no brand,2,no brand,1.6,Landjunker,6.48,NA,NA,NA,NA
4,11,Jemeter,3.62,Edeka,1.99,no brand,1.99,Edeka,1.99,no brand,1.09,Bio,1.99,Edeka,4.48,Bauersbeste,5.98,Saveol,2.99,Bauerbeste,1,Edeka,1.99,no brand,1,Edeka,0.35,NA,NA,NA,NA,UncleBens,3.98,Edeka,4.58,,NA,MinusL,1.29,Gut&Gunstig,0.61,Edeka,1.05,Gut&Gunstig,0.35,KerryGold,4.78,Arla,4.38,Edeka,4.79,Gut&Gunstig,1.55,Jemeter,4.98,Gut&Gunstig,6.48,Friki,12.99,Biofino,25.9
4,5,Bio,2.99,Kanzi,1.99,no brand,1.99,Bio,1.99,no brand,1.09,no brand,1.99,no brand,2.19,Edeka,7.9,no brand,2.19,Bauerbeste,0.64,Bio,1.99,no brand,1,Aurora,1.69,Stollen,0.99,NA,NA,Alnatura,4.39,NA,NA,NA,NA,Edeka,0.95,Edeka Bio,1.05,MinusL,1.29,Edeka,4.78,Weihenstephan,4.58,Kerrygold,4.78,Luisenhof,2.39,Edeka Bio,5.98,Alnatura,6.58,Gut&Gunstig,6.48,Friki,8.9,Biofino,25.9
3,5,GutBio,2.98,Honeycrunch,2.74,Pink Lady,2.59,GutBio,1.65,Greenyard Fresh,0.99,NA,NA,Tasty Tom,4.38,Lyterno,3.83,GutBio,4.38,Regina,1.49,GutBio,1.2,Gala,0.72,Gold_hren,0.35,NA,NA,NA,NA,Bon-Ri,0.98,NA,NA,NA,NA,Milsani,0.69,NA,NA,NA,NA,Milsani,3.6,O'Grady,8,Kerrygold,9.6,Hofland,1.9,Freilandhaltung,2.04,Bodenhaltung,1.56,Mine Metzgerei,6.48,NA,NA,NA,NA
4,5,Pink Lady,2.49,Kanzi,1.99,No brand,1.99,No brand,1.09,Demeter,1.99,NA,NA,The greenery,1.99,No brand,2.99,NA,NA,Bauers Beste,0.92,Linda,1.2,NA,NA,Wurzener,0.99,Kathi,1.29,Qualit_ts,0.35,Uncle Ben's,3.98,Wurzener,2.58,Oryza,3.18,Gut&Gunstig,0.69,NA,NA,NA,NA,Edeka,4.6,NA,NA,NA,NA,Freilandhaltung,2.6,Bodenhaltung,1.56,Luisenhof,2.75,Edeka,6.48,NA,NA,NA,NA
1,4,Pink lady,2.79,Gutbio,1.69,Rot,2.39,Guybio,1.69,Bio fairtrade,1.69,Preminum,1.09,Gutbio,3.98,Rispentomaten,3.68,Akition,1.59,Kleine Kartoffeln,1.45,Gutbio,1.85,No brand,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gutbio,1.09,Milsani,0.69,Gutbio,0.99,Kerrygold,3.8,Irische,4.6,Maelkebotte,1.69,Gutbio,1.98,Eier aus bodenhaltung,1.548,Freilandhalttung,2.028,Metzgerei,6.98,Fiuche,6.48,No brand,5.98
